Date,Price
2009-12-31,23.541967391967773
2010-01-04,23.904987335205078
2010-01-05,23.912704467773438
2010-01-06,23.765958786010742
2010-01-07,23.518798828125
2010-01-08,23.680997848510742
2010-01-11,23.3797664642334
2010-01-12,23.225296020507812
2010-01-13,23.441556930541992
2010-01-14,23.912704467773438
2010-01-15,23.83547019958496
2010-01-19,24.02083969116211
2010-01-20,23.62693214416504
2010-01-21,23.1789493560791
2010-01-22,22.36795425415039
2010-01-25,22.646015167236328
2010-01-26,22.785037994384766
2010-01-27,22.916345596313477
2010-01-28,22.522432327270508
2010-01-29,21.76551055908203
2010-02-01,21.943153381347656
2010-02-02,21.981773376464844
2010-02-03,22.11307716369629
2010-02-04,21.502901077270508
2010-02-05,21.641929626464844
2010-02-08,21.410215377807617
2010-02-09,21.634199142456055
2010-02-10,21.618755340576172
2010-02-11,21.719165802001953
2010-02-12,21.57241439819336
2010-02-16,21.999197006225586
2010-02-17,22.185443878173828
2010-02-18,22.480318069458008
2010-02-19,22.325117111206055
2010-02-22,22.29408073425293
2010-02-23,21.983684539794922
2010-02-24,22.21648597717285
2010-02-25,22.193195343017578
2010-02-26,22.247520446777344
2010-03-01,22.519113540649414
2010-03-02,22.084562301635742
2010-03-03,22.084562301635742
2010-03-04,22.21648597717285
2010-03-05,22.185443878173828
2010-03-08,22.21648597717285
2010-03-09,22.348400115966797
2010-03-10,22.480318069458008
2010-03-11,22.643272399902344
2010-03-12,22.71311378479004
2010-03-15,22.7286319732666
2010-03-16,22.790712356567383
2010-03-17,22.99246597290039
2010-03-18,22.976947784423828
2010-03-19,22.96143341064453
2010-03-22,22.96919059753418
2010-03-23,23.18646240234375
2010-03-24,23.00798797607422
2010-03-25,23.287342071533203
2010-03-26,23.015745162963867
2010-03-29,22.96143341064453
2010-03-30,23.101106643676758
2010-03-31,22.7286319732666
2010-04-01,22.627750396728516
2010-04-05,22.71311378479004
2010-04-06,22.751911163330078
2010-04-07,22.77519416809082
2010-04-08,23.217504501342773
2010-04-09,23.543418884277344
2010-04-12,23.527896881103516
2010-04-13,23.62877655029297
2010-04-14,23.915895462036133
2010-04-15,23.954692840576172
2010-04-16,23.799497604370117
2010-04-19,24.08660316467285
2010-04-20,24.334922790527344
2010-04-21,24.3116455078125
2010-04-22,24.358203887939453
2010-04-23,24.024524688720703
2010-04-26,24.140928268432617
2010-04-27,23.939170837402344
2010-04-28,23.98573112487793
2010-04-29,24.055564880371094
2010-04-30,23.698619842529297
2010-05-03,23.946931838989258
2010-05-04,23.380462646484375
2010-05-05,23.163183212280273
2010-05-06,22.488073348999023
2010-05-07,21.89056968688965
2010-05-10,22.4570369720459
2010-05-11,22.410476684570312
2010-05-12,22.845029830932617
2010-05-13,22.68982696533203
2010-05-14,22.449275970458984
2010-05-17,22.4570369720459
2010-05-18,22.2933406829834
2010-05-19,22.012725830078125
2010-05-20,21.13191032409668
2010-05-21,20.921449661254883
2010-05-24,20.47713851928711
2010-05-25,20.321239471435547
2010-05-26,19.49498176574707
2010-05-27,20.266677856445312
2010-05-28,20.110776901245117
2010-06-01,20.180931091308594
2010-06-02,20.625240325927734
2010-06-03,20.937040328979492
2010-06-04,20.10298728942871
2010-06-07,19.713237762451172
2010-06-08,19.57293128967285
2010-06-09,19.323501586914062
2010-06-10,19.48719024658203
2010-06-11,20.001657485961914
2010-06-14,19.876934051513672
2010-06-15,20.718782424926758
2010-06-16,20.516117095947266
2010-06-17,20.555086135864258
2010-06-18,20.60965347290039
2010-06-21,20.227705001831055
2010-06-22,20.087392807006836
2010-06-23,19.72882843017578
2010-06-24,19.48719024658203
2010-06-25,19.12083625793457
2010-06-28,18.9493465423584
2010-06-29,18.169858932495117
2010-06-30,17.936002731323242
2010-07-01,18.05293846130371
2010-07-02,18.13867950439453
2010-07-06,18.567392349243164
2010-07-07,18.941547393798828
2010-07-08,19.027297973632812
2010-07-09,18.91815757751465
2010-07-12,19.35468101501465
2010-07-13,19.588512420654297
2010-07-14,19.830163955688477
2010-07-15,19.88472557067871
2010-07-16,19.401439666748047
2010-07-19,19.666467666625977
2010-07-20,19.861347198486328
2010-07-21,19.580732345581055
2010-07-22,20.141958236694336
2010-07-23,20.118574142456055
2010-07-26,20.344629287719727
2010-07-27,20.391393661499023
2010-07-28,20.227705001831055
2010-07-29,20.290058135986328
2010-07-30,20.118574142456055
2010-08-02,20.52390480041504
2010-08-03,20.391393661499023
2010-08-04,20.056211471557617
2010-08-05,19.77560043334961
2010-08-06,19.915903091430664
2010-08-09,19.962678909301758
2010-08-10,19.541751861572266
2010-08-11,19.378061294555664
2010-08-12,19.08965301513672
2010-08-13,19.019495010375977
2010-08-16,19.097442626953125
2010-08-17,19.3638858795166
2010-08-18,19.450084686279297
2010-08-19,19.152299880981445
2010-08-20,18.987735748291016
2010-08-23,19.02691650390625
2010-08-24,18.838842391967773
2010-08-25,18.885862350463867
2010-08-26,18.66643524169922
2010-08-27,18.752641677856445
2010-08-30,18.525381088256836
2010-08-31,18.392166137695312
2010-09-01,18.729127883911133
2010-09-02,18.760480880737305
2010-09-03,19.034753799438477
2010-09-07,18.776145935058594
2010-09-08,18.752641677856445
2010-09-09,18.81532859802246
2010-09-10,18.689952850341797
2010-09-13,19.677349090576172
2010-09-14,19.614652633666992
2010-09-15,19.685178756713867
2010-09-16,19.84974479675293
2010-09-17,19.763540267944336
2010-09-20,19.92810821533203
2010-09-21,19.708688735961914
2010-09-22,19.285520553588867
2010-09-23,19.144460678100586
2010-09-24,19.41873550415039
2010-09-27,19.379560470581055
